pid,tid,picid,picgender,correctAns,memCond,congruency,response,sbjResp,sbjRT,sbjACC
3.0,39.0,22.0,male,y,old,congruent,go,b,1236.4649953087792,1.0
3.0,40.0,67.0,female,y,old,congruent,nogo,v,1203.2912349968683,1.0
3.0,41.0,91.0,female,y,old,incongruent,nogo,v,1186.5332004672382,1.0
3.0,42.0,1.0,male,y,old,congruent,go,m,1770.295149210142,0.0
3.0,43.0,29.0,male,y,old,incongruent,go,b,1235.6701991520822,1.0
3.0,44.0,49.0,male,y,old,incongruent,go,v,2386.66909764288,1.0
3.0,45.0,83.0,female,y,old,incongruent,nogo,v,1419.296492182184,1.0
3.0,46.0,3.0,male,y,old,incongruent,go,n,1302.6721512433141,0.0
3.0,47.0,79.0,female,y,old,congruent,nogo,v,1285.9418877924327,1.0
3.0,48.0,26.0,male,y,old,congruent,go,n,1919.4318761874456,0.0
3.0,49.0,6.0,male,y,old,incongruent,go,b,1118.9791472279467,1.0
3.0,50.0,17.0,male,y,old,congruent,go,b,1769.2691286210902,1.0
3.0,51.0,39.0,male,y,old,incongruent,go,b,1652.3782456933986,1.0
3.0,52.0,55.0,female,y,old,incongruent,nogo,v,1035.7060600363184,1.0
3.0,53.0,25.0,male,y,old,congruent,go,n,2086.4272175822407,0.0
3.0,54.0,15.0,male,y,old,congruent,go,m,1119.0784590435214,0.0
3.0,55.0,7.0,male,y,old,congruent,go,b,2186.688356276136,1.0
3.0,56.0,81.0,female,y,old,incongruent,nogo,v,1519.5950614579488,1.0
3.0,57.0,32.0,male,y,old,congruent,go,m,1135.8859985193703,0.0
3.0,58.0,8.0,male,y,old,incongruent,go,n,1569.5950765511952,0.0
3.0,59.0,24.0,male,n,new,,,m,1536.1571891407948,1.0
3.0,60.0,19.0,male,y,old,congruent,go,n,1786.3730941608083,0.0
3.0,61.0,52.0,female,n,new,,,m,1135.6849600852001,1.0
3.0,62.0,50.0,female,n,new,,,v,1185.9318962669931,0.0
3.0,63.0,30.0,male,y,old,incongruent,go,v,1586.728020600276,1.0
3.0,64.0,60.0,female,y,old,congruent,nogo,,,0.0
3.0,65.0,78.0,female,y,old,incongruent,nogo,v,1353.4440211951733,1.0
3.0,66.0,99.0,female,y,old,congruent,nogo,m,1686.823438416468,0.0
3.0,67.0,59.0,female,y,old,congruent,nogo,b,1420.0466131733265,1.0
3.0,68.0,10.0,male,y,old,incongruent,go,v,1169.6710244286805,1.0
3.0,69.0,16.0,male,y,old,congruent,go,v,1486.7421778326388,1.0
3.0,70.0,84.0,female,n,new,,,n,1669.971827446716,1.0
3.0,71.0,92.0,female,y,old,incongruent,nogo,n,2187.002592079807,0.0
3.0,72.0,94.0,female,y,old,incongruent,nogo,n,1853.766860003816,0.0
3.0,73.0,56.0,female,y,old,congruent,nogo,n,1586.8907229159959,0.0
3.0,74.0,93.0,female,y,old,incongruent,nogo,b,953.1360037217382,1.0
3.0,75.0,68.0,female,n,new,,,v,1086.4269157173112,0.0
3.0,76.0,46.0,male,y,old,congruent,go,v,1436.804345838027,1.0
3.0,77.0,98.0,female,y,old,congruent,nogo,n,285.95245291944593,0.0
3.0,78.0,33.0,male,y,old,incongruent,go,b,886.3734262122307,1.0
3.0,79.0,76.0,female,y,old,congruent,nogo,n,1203.2861033803783,0.0
3.0,80.0,40.0,male,n,new,,,b,1152.5362691900227,0.0
3.0,81.0,70.0,female,y,old,incongruent,nogo,b,1103.1022407405544,1.0
3.0,82.0,87.0,female,n,new,,,,,0.0
3.0,83.0,69.0,female,n,new,,,b,953.0976675450802,0.0
3.0,84.0,80.0,female,y,old,incongruent,nogo,m,1086.5207940514665,0.0
3.0,85.0,75.0,female,y,old,congruent,nogo,b,953.0883099068888,1.0
3.0,86.0,42.0,male,n,new,,,n,1303.0002725718077,1.0
3.0,87.0,37.0,male,n,new,,,v,1303.2538346014917,0.0
3.0,88.0,47.0,male,n,new,,,b,1653.5044836637098,0.0
3.0,89.0,82.0,female,y,old,congruent,nogo,n,1336.7200968204997,0.0
3.0,90.0,90.0,female,y,old,congruent,nogo,m,1653.522293374408,0.0
3.0,91.0,27.0,male,n,new,,,b,2120.4712389735505,0.0
3.0,92.0,97.0,female,y,old,congruent,nogo,b,1720.2797392674256,1.0
3.0,93.0,36.0,male,y,old,incongruent,go,v,919.6392536978237,1.0
3.0,94.0,71.0,female,n,new,,,n,719.4432864780538,1.0
3.0,95.0,14.0,male,y,old,incongruent,go,v,1003.0635725124739,1.0
3.0,96.0,35.0,male,y,old,incongruent,go,b,736.2894639954902,1.0
3.0,97.0,96.0,female,y,old,congruent,nogo,m,1252.7635995938908,0.0
3.0,98.0,85.0,female,y,old,congruent,nogo,v,1369.9355137359817,1.0
3.0,99.0,45.0,male,y,old,incongruent,go,n,1636.6836623637937,0.0
4.0,0.0,15.0,male,y,old,congruent,nogo,v,1275.9049746455275,1.0
4.0,1.0,1.0,male,y,old,incongruent,nogo,v,719.1502656423836,1.0
4.0,2.0,71.0,female,y,old,incongruent,go,m,1403.3575827124878,0.0
4.0,3.0,90.0,female,y,old,incongruent,go,v,1820.280125575664,1.0
4.0,4.0,89.0,female,y,old,congruent,go,v,1119.8532963026082,1.0
4.0,5.0,54.0,female,y,old,incongruent,go,v,1736.8866215838352,1.0
4.0,6.0,27.0,male,y,old,congruent,nogo,,,0.0
4.0,7.0,23.0,male,y,old,congruent,nogo,n,1353.1806930695893,0.0
4.0,8.0,96.0,female,y,old,incongruent,go,m,1520.1198382055736,0.0
4.0,9.0,6.0,male,y,old,incongruent,nogo,v,1152.924112531764,1.0
4.0,10.0,30.0,male,y,old,congruent,nogo,n,2120.409321418265,0.0
4.0,11.0,50.0,female,n,new,,,m,1631.4495291007916,1.0
4.0,12.0,45.0,male,y,old,congruent,nogo,v,1386.4235691871727,1.0
4.0,13.0,75.0,female,n,new,,,b,1953.6588384435163,0.0
4.0,14.0,84.0,female,y,old,incongruent,go,v,1169.785076068365,1.0
4.0,15.0,28.0,male,y,old,incongruent,nogo,v,1019.8397126296186,1.0
4.0,16.0,64.0,female,y,old,congruent,go,v,1336.6433228657115,1.0
4.0,17.0,85.0,female,y,old,congruent,go,b,1937.169162039936,1.0
4.0,18.0,66.0,female,y,old,incongruent,go,v,885.8346413908293,1.0
4.0,19.0,97.0,female,y,old,incongruent,go,m,1519.9752475309651,0.0
